AnoMes,Municipio_Ibge,Municipio,Estado_Ibge,Estado,Sigla_Regiao,Regiao,VL_PagadorPF,QT_PagadorPF,VL_PagadorPJ,QT_PagadorPJ,VL_RecebedorPF,QT_RecebedorPF,VL_RecebedorPJ,QT_RecebedorPJ,QT_PES_PagadorPF,QT_PES_PagadorPJ,QT_PES_RecebedorPF,QT_PES_RecebedorPJ
202202,3540804,POTIRENDABA,35,SÃO PAULO,SE,SUDESTE,19631830.86,54275,13468037.2,5544,21478781.25,44653,10802055.92,10930,5720,466,5657,467
202202,2300101,ABAIARA,23,CEARÁ,NE,NORDESTE,4719306.65,20421,607003.67,346,4328100.67,19059,543441.96,1504,1839,27,1997,30
202201,2311603,REDENÇÃO,23,CEARÁ,NE,NORDESTE,18033291.39,95153,3808939.7,3507,18565125.67,89334,3959887.62,6862,8013,237,8559,221
202306,2503902,CAMALAÚ,25,PARAÍBA,NE,NORDESTE,8366790.8,44933,954289.64,1521,8333916.66,35347,1073199.01,6591,2222,65,2227,60
202012,4201505,ARMAZÉM,42,SANTA CATARINA,SU,SUL,685503.27,1285,1006502.52,310,925441.27,1358,1355945.58,294,409,62,403,102
202207,4201505,ARMAZÉM,42,SANTA CATARINA,SU,SUL,9767525.9,28413,9466301.23,5337,10540900.44,19492,13025649.11,10468,2748,381,2617,377
202403,4320107,SARANDI,43,RIO GRANDE DO SUL,SU,SUL,56731129.45,261332,31905367.46,24963,54285943.24,135947,49654558.87,82778,12071,1467,11402,1400
202303,3136900,JURUAIA,31,MINAS GERAIS,SE,SUDESTE,16337824.5,54453,15438120.03,11937,16814721.61,39506,15763890.38,24728,4088,609,4002,593
202110,4320107,SARANDI,43,RIO GRANDE DO SUL,SU,SUL,17981506.74,43819,38411200.98,6568,17527827.92,35376,38858767.94,13673,6352,776,5728,826
202401,1302009,ITAPIRANGA,13,AMAZONAS,NO,NORTE,18409723.19,196938,6846789.79,13365,16451398.86,128684,5572460.82,38585,5204,166,5114,158
202406,4125555,SÃO MANOEL DO PARANÁ,41,PARANÁ,SU,SUL,5554939.62,29448,4291797.36,2100,5223473.34,14089,3832694.4,5311,1127,71,1078,77
202406,2101251,BACABEIRA,21,MARANHÃO,NE,NORDESTE,39527588.74,383613,26797805.83,9402,37350384.01,253912,19896616.42,31111,9672,243,9464,217
202209,3522653,ITAPIRAPUÃ PAULISTA,35,SÃO PAULO,SE,SUDESTE,5224027.48,21746,1528943.53,1037,4583465.3,16604,1081637.33,2410,1590,56,1553,57
202205,3129608,IBIAÍ,31,MINAS GERAIS,SE,SUDESTE,7847342.1,34460,1641449.76,1756,7834864.2,30005,1051984.4,3415,2383,106,2512,99
